,Item,Price,url
221,Men's Casual Chappal,"Rs.1,499.00",https://www.servis.pk/collections/men
222,Men's Casual Chappal,"Rs.1,499.00",https://www.servis.pk/collections/men
223,Men's Everyday Chappal,"Rs.1,299.00",https://www.servis.pk/collections/men
224,Men's Everyday Chappal,"Rs.1,299.00",https://www.servis.pk/collections/men
225,Men's Durable Chappal,"Rs.3,999.00",https://www.servis.pk/collections/men
226,Men's Durable Chappal,"Rs.3,999.00",https://www.servis.pk/collections/men
227,Men's Durable Chappal,"Rs.3,999.00",https://www.servis.pk/collections/men
228,Men's Durable Chappal,"Rs.3,999.00",https://www.servis.pk/collections/men
229,Effortless Men's Chappal,"Rs.2,999.00",https://www.servis.pk/collections/men
230,Effortless Men's Chappal,"Rs.2,999.00",https://www.servis.pk/collections/men
231,Men's Peshawari Sandals,"Rs.4,999.00",https://www.servis.pk/collections/men
232,Men's Peshawari Sandals,"Rs.3,900.00",https://www.servis.pk/collections/men
233,Men's Peshawari Sandals,"Rs.3,900.00",https://www.servis.pk/collections/men
234,Basic Casual Shoes for Men,"Rs.9,999.00",https://www.servis.pk/collections/men
235,Basic Casual Shoes for Men,"Rs.9,999.00",https://www.servis.pk/collections/men
236,Trendy Casual Shoes for Men,"Rs.9,999.00",https://www.servis.pk/collections/men
237,Trendy Casual Shoes for Men,"Rs.9,999.00",https://www.servis.pk/collections/men
238,Everyday Men's Moccs,"Rs.8,499.00",https://www.servis.pk/collections/men
239,Everyday Men's Moccs,"Rs.8,499.00",https://www.servis.pk/collections/men
240,Everyday Men's Moccs,"Rs.6,999.00",https://www.servis.pk/collections/men
241,Everyday Men's Moccs,"Rs.6,999.00",https://www.servis.pk/collections/men
242,Men's casual moccs,"Rs.7,999.00",https://www.servis.pk/collections/men
243,Men's casual moccs,"Rs.7,999.00",https://www.servis.pk/collections/men
244,Men's Sporty Sneakers,"Rs.5,999.00",https://www.servis.pk/collections/men
245,Men's Stylish Sneakers,"Rs.7,499.00",https://www.servis.pk/collections/men
246,Men's Trendy Slip on Sneakers,"Rs.3,499.00",https://www.servis.pk/collections/men
247,Men's trendy sneakers,"Rs.4,999.00",https://www.servis.pk/collections/men
248,Men's trendy sneakers,"Rs.4,999.00",https://www.servis.pk/collections/men
249,Men's Casual Slip-On,"Rs.3,499.00",https://www.servis.pk/collections/men
250,Men's Casual Slip-On,"Rs.3,499.00",https://www.servis.pk/collections/men
251,Men's Casual Moccs,"Rs.3,499.00",https://www.servis.pk/collections/men
252,Men's Casual Moccs,"Rs.3,499.00",https://www.servis.pk/collections/men
253,Men's All-day Sneakers,"Rs.7,499.00",https://www.servis.pk/collections/men
254,Men's Smart Sporty Sneakers,"Rs.4,499.00",https://www.servis.pk/collections/men
255,Everyday casual moccs,"Rs.5,499.00",https://www.servis.pk/collections/men
256,Everyday casual moccs,"Rs.5,499.00",https://www.servis.pk/collections/men
257,Men's casual moccs,"Rs.2,999.00",https://www.servis.pk/collections/men
258,Men's casual moccs,"Rs.2,999.00",https://www.servis.pk/collections/men
259,Men's casual moccs,"Rs.2,999.00",https://www.servis.pk/collections/men
260,Men's formal slip-on,"Rs.13,999.00",https://www.servis.pk/collections/men
261,Men's formal slip-on,"Rs.13,999.00",https://www.servis.pk/collections/men
262,Men's formal slip-on,"Rs.12,999.00",https://www.servis.pk/collections/men
263,Men's formal slip-on,"Rs.12,999.00",https://www.servis.pk/collections/men
264,Stylish men's slip-on,"Rs.13,999.00",https://www.servis.pk/collections/men
265,Stylish men's slip-on,"Rs.13,999.00",https://www.servis.pk/collections/men
266,Casual slip-on for men,"Rs.13,999.00",https://www.servis.pk/collections/men
267,Casual slip-on for men,"Rs.13,999.00",https://www.servis.pk/collections/men
268,Casual slip-on for men,"Rs.13,999.00",https://www.servis.pk/collections/men
269,Casual slip-on for men,"Rs.13,999.00",https://www.servis.pk/collections/men
270,Stylish men's slip-on,"Rs.13,999.00",https://www.servis.pk/collections/men
271,Stylish men's slip-on,"Rs.13,999.00",https://www.servis.pk/collections/men
